Province/State,Country/Region,5/1/20
,Afghanistan,2108
,Albania,737
,Algeria,3836
,Andorra,888
,Angola,0
,Antigua and Barbuda,0
,Argentina,4198
,Armenia,1807
Australian Capital Territory,Australia,115
New South Wales,Australia,4639
Northern Territory,Australia,0
Queensland,Australia,1118
South Australia,Australia,471
Tasmania,Australia,384
Victoria,Australia,1526
Western Australia,Australia,623
,Austria,16858
,Azerbaijan,2328
,Bahamas,0
,Bahrain,3947
,Bangladesh,21391
,Barbados,0
,Belarus,16267
,Belgium,76469
,Benin,0
,Bhutan,0
,Bolivia,983
,Bosnia and Herzegovina,1847
,Brazil,90067
,Brunei,140
,Bulgaria,1196
,Burkina Faso,792
,Cabo Verde,3849
,Cambodia,120
,Cameroon,1346
Alberta,Canada,4144
British Columbia,Canada,1959
Grand Princess,Canada,0
Manitoba,Canada,280
New Brunswick,Canada,129
Newfoundland and Labrador,Canada,284
Nova Scotia,Canada,1090
Ontario,Canada,21994
Prince Edward Island,Canada,0
Quebec,Canada,29559
Saskatchewan,Canada,351
,Central African Republic,0
,Chad,0
,Chile,17549
Anhui,China,991
Beijing,China,582
Chongqing,China,581
Fujian,China,373
Gansu,China,141
Guangdong,China,1644
Guangxi,China,254
Guizhou,China,145
Hainan,China,168
Hebei,China,343
Heilongjiang,China,1046
Henan,China,1275
Hong Kong,China,1084
Hubei,China,67946
Hunan,China,1018
Inner Mongolia,China,371
Jiangsu,China,666
Jiangxi,China,939
Jilin,China,105
Liaoning,China,146
Macau,China,0
Ningxia,China,0
Qinghai,China,0
Shaanxi,China,252
Shandong,China,793
Shanghai,China,760
Shanxi,China,212
Sichuan,China,575
Tianjin,China,204
Tibet,China,0
Xinjiang,China,0
Yunnan,China,186
Zhejiang,China,1285
,Colombia,6709
,Congo (Brazzaville),397
,Congo (Kinshasa),465
,Costa Rica,786
,Cote d'Ivoire,1455
,Croatia,2453
,Diamond Princess,715
,Cuba,1812
,Cyprus,1214
,Czechia,13016
Faroe Islands,Denmark,186
Greenland,Denmark,0
,Denmark,8703
,Djibouti,4123
,Dominican Republic,8507
,Ecuador,20959
,Egypt,5932
,El Salvador,356
,Equatorial Guinea,982
,Eritrea,0
,Estonia,1850
,Eswatini,0
,Ethiopia,167
,Fiji,0
,Finland,5116
French Guiana,France,118
French Polynesia,France,0
Guadeloupe,France,155
Mayotte,France,365
New Caledonia,France,0
Reunion,France,454
Saint Barthelemy,France,0
St Martin,France,0
Martinique,France,175
,France,271674
,Gabon,252
,Gambia,0
,Georgia,698
,Germany,176084
,Ghana,2108
,Greece,3371
,Guatemala,572
,Guinea,1476
,Guyana,0
,Haiti,0
,Holy See,0
,Honduras,592
,Hungary,3351
,Iceland,1845
,India,39699
,Indonesia,11495
,Iran,124037
,Iraq,1923
,Ireland,34234
,Israel,24046
,Italy,276514
,Jamaica,486
,Japan,22248
,Jordan,458
,Kazakhstan,3436
,Kenya,392
,"Korea, South",13946
,Kuwait,4465
,Kyrgyzstan,938
,Latvia,839
,Lebanon,767
,Liberia,207
,Liechtenstein,82
,Lithuania,1632
,Luxembourg,4355
,Madagascar,140
,Malaysia,7495
,Maldives,49
,Malta,682
,Mauritania,0
,Mauritius,361
,Mexico,19709
,Moldova,4832
,Monaco,100
,Mongolia,0
,Montenegro,367
,Morocco,5420
,Namibia,0
,Nepal,0
Aruba,Netherlands,107
Curacao,Netherlands,0
Sint Maarten,Netherlands,0
,Netherlands,50413
,New Zealand,1682
,Nicaragua,0
,Niger,960
,Nigeria,1018
,North Macedonia,2119
,Norway,11263
,Oman,3174
,Pakistan,13145
,Panama,6881
,Papua New Guinea,0
,Paraguay,324
,Peru,49947
,Philippines,9984
,Poland,14993
,Portugal,24965
,Qatar,12720
,Romania,14182
,Russia,153945
,Rwanda,182
,Saint Lucia,0
,Saint Vincent and the Grenadines,0
,San Marino,663
,Saudi Arabia,23111
,Senegal,473
,Serbia,14040
,Seychelles,0
,Singapore,23153
,Slovakia,1790
,Slovenia,1583
,Somalia,4165
,South Africa,4463
,Spain,255713
,Sri Lanka,342
,Sudan,300
,Suriname,0
,Sweden,20748
,Switzerland,32638
,Taiwan*,446
,Tanzania,1759
,Thailand,3090
,Togo,95
,Trinidad and Tobago,116
,Tunisia,1143
,Turkey,202761
,Uganda,0
,Ukraine,15018
,United Arab Emirates,15871
Bermuda,United Kingdom,179
Cayman Islands,United Kingdom,0
Channel Islands,United Kingdom,767
Gibraltar,United Kingdom,144
Isle of Man,United Kingdom,496
Montserrat,United Kingdom,0
,United Kingdom,303341
,Uruguay,636
,US,1415137
,Uzbekistan,4003
,Venezuela,299
,Vietnam,301
,Zambia,0
,Zimbabwe,0
Diamond Princess,Canada,0
,Dominica,0
,Grenada,0
,Mozambique,0
,Syria,0
,Timor-Leste,0
,Belize,0
Recovered,Canada,0
,Laos,0
,Libya,0
,West Bank and Gaza,635
,Guinea-Bissau,0
,Mali,576
,Saint Kitts and Nevis,0
Northwest Territories,Canada,0
Yukon,Canada,0
,Kosovo,1382
,Burma,666
Anguilla,United Kingdom,0
British Virgin Islands,United Kingdom,0
Turks and Caicos Islands,United Kingdom,0
,MS Zaandam,0
,Botswana,0
,Burundi,0
,Sierra Leone,0
"Bonaire, Sint Eustatius and Saba",Netherlands,0
,Malawi,0
Falkland Islands (Malvinas),United Kingdom,0
Saint Pierre and Miquelon,France,0
,South Sudan,0
,Western Sahara,0
,Sao Tome and Principe,0
,Yemen,0
