Province/State,Country/Region,Lat,Long,5/1/20
,Afghanistan,33,65,1527
,Albania,41.1533,20.1683,905
,Algeria,28.0339,1.6596,3669
,Andorra,42.5063,1.5218,662
,Angola,-11.2027,17.8739,28
,Antigua and Barbuda,17.0608,-61.7964,5
,Argentina,-38.4161,-63.6167,3631
,Armenia,40.0691,45.0382,2297
Australian Capital Territory,Australia,-35.4735,149.0124,102
New South Wales,Australia,-33.8688,151.2093,3599
Northern Territory,Australia,-12.4634,130.8456,24
Queensland,Australia,-28.0167,153.4,1577
South Australia,Australia,-34.9285,138.6007,2127
Tasmania,Australia,-41.4545,145.9707,140
Victoria,Australia,-37.8136,144.9631,1985
Western Australia,Australia,-31.9505,115.8605,508
,Austria,47.5162,14.5501,15594
,Azerbaijan,40.1431,47.5769,1559
,Bahamas,25.0343,-77.3963,99
,Bahrain,26.0275,50.55,3791
,Bangladesh,23.685,90.3563,10672
,Barbados,13.1939,-59.5432,73
,Belarus,53.7098,27.9534,32302
,Belgium,50.8333,4,46865
,Benin,9.3077,2.3158,44
,Bhutan,27.5142,90.4336,5
,Bolivia,-16.2902,-63.5887,765
,Bosnia and Herzegovina,43.9159,17.6791,1296
,Brazil,-14.235,-51.9253,61773
,Brunei,4.5353,114.7277,139
,Bulgaria,42.7339,25.4858,1474
,Burkina Faso,12.2383,-1.5616,728
,Cabo Verde,16.5388,-23.0418,99
,Cambodia,11.55,104.9167,836
,Cameroon,3.848,11.5021,1091
Alberta,Canada,53.9333,-116.5765,6764
British Columbia,Canada,49.2827,-123.1207,2807
Grand Princess,Canada,37.6489,-122.6655,-20
Manitoba,Canada,53.7609,-98.8139,236
New Brunswick,Canada,46.5653,-66.4619,139
Newfoundland and Labrador,Canada,53.1355,-57.6604,243
Nova Scotia,Canada,44.682,-63.7443,895
Ontario,Canada,51.2538,-85.3232,18939
Prince Edward Island,Canada,46.5107,-63.4168,33
Quebec,Canada,52.9399,-73.5491,30304
Saskatchewan,Canada,52.9399,-106.4509,396
,Central African Republic,6.6111,20.9394,19
,Chad,15.4542,18.7322,76
,Chile,-35.6751,-71.543,13690
Anhui,China,31.8257,117.2264,993
Beijing,China,40.1824,116.4142,562
Chongqing,China,30.0572,107.874,566
Fujian,China,26.0789,117.9874,340
Gansu,China,37.8099,101.0583,145
Guangdong,China,23.3417,113.4244,1506
Guangxi,China,23.8298,108.7881,251
Guizhou,China,26.8154,106.8748,143
Hainan,China,19.1959,109.7453,165
Hebei,China,39.549,116.1306,330
Heilongjiang,China,47.862,127.7615,911
Henan,China,33.882,113.614,1266
Hong Kong,China,22.3,114.2,2050
Hubei,China,30.9756,112.2707,68094
Hunan,China,27.6104,111.7088,997
Inner Mongolia,China,44.0935,113.9448,284
Jiangsu,China,32.9711,119.455,656
Jiangxi,China,27.614,115.7221,915
Jilin,China,43.6661,126.1923,105
Liaoning,China,41.2956,122.6085,141
Macau,China,22.1667,113.55,65
Ningxia,China,37.2692,106.1655,73
Qinghai,China,35.7452,95.9956,17
Shaanxi,China,35.1917,108.8701,249
Shandong,China,36.3427,118.1498,792
Shanghai,China,31.202,121.4491,656
Shanxi,China,37.5777,112.2922,206
Sichuan,China,30.6171,102.7103,560
Tianjin,China,39.3054,117.323,194
Tibet,China,31.6927,88.0924,1
Xinjiang,China,41.1129,85.2401,75
Yunnan,China,24.974,101.487,187
Zhejiang,China,29.1832,120.0934,1278
,Colombia,4.5709,-74.2973,6603
,Congo (Brazzaville),-4.0383,21.7587,287
,Congo (Kinshasa),-4.0383,21.7587,518
,Costa Rica,9.7489,-83.7534,737
,Cote d'Ivoire,7.54,-5.5471,1402
,Croatia,45.1,15.2,1870
,Diamond Princess,0,0,712
,Cuba,22,-80,1279
,Cyprus,35.1264,33.4299,609
,Czechia,49.8175,15.473,8830
Faroe Islands,Denmark,61.8926,-6.9118,191
Greenland,Denmark,71.7069,-42.6043,11
,Denmark,56.2639,9.5018,7568
,Djibouti,11.8251,42.5903,4717
,Dominican Republic,18.7357,-70.1627,6162
,Ecuador,-1.8312,-78.1834,15503
,Egypt,26,30,5052
,El Salvador,13.7942,-88.8965,337
,Equatorial Guinea,1.5,10,56
,Eritrea,15.1794,39.7823,10
,Estonia,58.5953,25.0136,1502
,Eswatini,-26.5225,31.4659,60
,Ethiopia,9.145,40.4897,97
,Fiji,-17.7134,178.065,9
,Finland,64,26,5004
French Guiana,France,3.9339,-53.1258,79
French Polynesia,France,-17.6797,149.4068,60
Guadeloupe,France,16.25,-61.5833,145
Mayotte,France,-12.8275,45.1662,684
