Province/State,Country/Region,Lat,Long,5/1/20
,Afghanistan,33,65,72
,Albania,41.1533,20.1683,23
,Algeria,28.0339,1.6596,292
,Andorra,42.5063,1.5218,33
,Angola,-11.2027,17.8739,2
,Antigua and Barbuda,17.0608,-61.7964,3
,Argentina,-38.4161,-63.6167,204
,Armenia,40.0691,45.0382,32
Australian Capital Territory,Australia,-35.4735,149.0124,2
New South Wales,Australia,-33.8688,151.2093,21
Northern Territory,Australia,-12.4634,130.8456,0
Queensland,Australia,-28.0167,153.4,6
South Australia,Australia,-34.9285,138.6007,4
Tasmania,Australia,-41.4545,145.9707,6
Victoria,Australia,-37.8136,144.9631,13
Western Australia,Australia,-31.9505,115.8605,10
,Austria,47.5162,14.5501,689
,Azerbaijan,40.1431,47.5769,27
,Bahamas,25.0343,-77.3963,7
,Bahrain,26.0275,50.55,7
,Bangladesh,23.685,90.3563,369
,Barbados,13.1939,-59.5432,6
,Belarus,53.7098,27.9534,91
,Belgium,50.8333,4,2797
,Benin,9.3077,2.3158,1
,Bhutan,27.5142,90.4336,0
,Bolivia,-16.2902,-63.5887,58
,Bosnia and Herzegovina,43.9159,17.6791,81
,Brazil,-14.235,-51.9253,2430
,Brunei,4.5353,114.7277,0
,Bulgaria,42.7339,25.4858,37
,Burkina Faso,12.2383,-1.5616,43
,Cabo Verde,16.5388,-23.0418,1
,Cambodia,11.55,104.9167,0
,Cameroon,3.848,11.5021,71
Alberta,Canada,53.9333,-116.5765,66
British Columbia,Canada,49.2827,-123.1207,92
Grand Princess,Canada,37.6489,-122.6655,0
Manitoba,Canada,53.7609,-98.8139,5
New Brunswick,Canada,46.5653,-66.4619,0
Newfoundland and Labrador,Canada,53.1355,-57.6604,1
Nova Scotia,Canada,44.682,-63.7443,55
Ontario,Canada,51.2538,-85.3232,1197
Prince Edward Island,Canada,46.5107,-63.4168,0
Quebec,Canada,52.9399,-73.5491,1957
Saskatchewan,Canada,52.9399,-106.4509,4
,Central African Republic,6.6111,20.9394,0
,Chad,15.4542,18.7322,0
,Chile,-35.6751,-71.543,236
Anhui,China,31.8257,117.2264,5
Beijing,China,40.1824,116.4142,7
Chongqing,China,30.0572,107.874,6
Fujian,China,26.0789,117.9874,0
Gansu,China,37.8099,101.0583,1
Guangdong,China,23.3417,113.4244,8
Guangxi,China,23.8298,108.7881,1
Guizhou,China,26.8154,106.8748,1
Hainan,China,19.1959,109.7453,5
Hebei,China,39.549,116.1306,6
Heilongjiang,China,47.862,127.7615,12
Henan,China,33.882,113.614,22
Hong Kong,China,22.3,114.2,3
Hubei,China,30.9756,112.2707,5524
Hunan,China,27.6104,111.7088,3
Inner Mongolia,China,44.0935,113.9448,0
Jiangsu,China,32.9711,119.455,0
Jiangxi,China,27.614,115.7221,0
Jilin,China,43.6661,126.1923,0
Liaoning,China,41.2956,122.6085,2
Macau,China,22.1667,113.55,0
Ningxia,China,37.2692,106.1655,0
Qinghai,China,35.7452,95.9956,0
Shaanxi,China,35.1917,108.8701,2
Shandong,China,36.3427,118.1498,6
Shanghai,China,31.202,121.4491,9
Shanxi,China,37.5777,112.2922,0
Sichuan,China,30.6171,102.7103,2
Tianjin,China,39.3054,117.323,3
Tibet,China,31.6927,88.0924,0
Xinjiang,China,41.1129,85.2401,3
Yunnan,China,24.974,101.487,2
Zhejiang,China,29.1832,120.0934,0
,Colombia,4.5709,-74.2973,258
,Congo (Brazzaville),-4.0383,21.7587,5
,Congo (Kinshasa),-4.0383,21.7587,21
,Costa Rica,9.7489,-83.7534,6
,Cote d'Ivoire,7.54,-5.5471,35
,Croatia,45.1,15.2,97
,Diamond Princess,0,0,14
,Cuba,22,-80,56
,Cyprus,35.1264,33.4299,17
,Czechia,49.8175,15.473,298
Faroe Islands,Denmark,61.8926,-6.9118,0
Greenland,Denmark,71.7069,-42.6043,0
,Denmark,56.2639,9.5018,416
,Djibouti,11.8251,42.5903,2
,Dominican Republic,18.7357,-70.1627,323
,Ecuador,-1.8312,-78.1834,633
,Egypt,26,30,364
,El Salvador,13.7942,-88.8965,5
,Equatorial Guinea,1.5,10,0
,Eritrea,15.1794,39.7823,0
,Estonia,58.5953,25.0136,49
,Eswatini,-26.5225,31.4659,0
,Ethiopia,9.145,40.4897,3
,Fiji,-17.7134,178.065,0
,Finland,64,26,456
French Guiana,France,3.9339,-53.1258,1
French Polynesia,France,-17.6797,149.4068,0
Guadeloupe,France,16.25,-61.5833,24
Mayotte,France,-12.8275,45.1662,4
New Caledonia,France,-20.9043,165.618,0
Reunion,France,-21.1351,55.2471,0
Saint Barthelemy,France,17.9,-62.8333,0
St Martin,France,18.0708,-63.0501,2
Martinique,France,14.6415,-61.0242,27
,France,46.2276,2.2137,16596
,Gabon,-0.8037,11.6094,1
,Gambia,13.4432,-15.3101,1
,Georgia,42.3154,43.3569,10
,Germany,51,9,5621
,Ghana,7.9465,-1.0232,6
,Greece,39.0742,21.8243,155
,Guatemala,15.7835,-90.2308,15
,Guinea,9.9456,-9.6966,1
