Province/State,Country/Region,Lat,Long,5/1/20
,Afghanistan,33,65,591
,Albania,41.1533,20.1683,476
,Algeria,28.0339,1.6596,3255
,Andorra,42.5063,1.5218,1166
,Angola,-11.2027,17.8739,4
,Antigua and Barbuda,17.0608,-61.7964,50
,Argentina,-38.4161,-63.6167,1288
,Armenia,40.0691,45.0382,1899
Australian Capital Territory,Australia,-35.4735,149.0124,56
New South Wales,Australia,-33.8688,151.2093,1664
Northern Territory,Australia,-12.4634,130.8456,26
Queensland,Australia,-28.0167,153.4,750
South Australia,Australia,-34.9285,138.6007,496
Tasmania,Australia,-41.4545,145.9707,666
Victoria,Australia,-37.8136,144.9631,2317
Western Australia,Australia,-31.9505,115.8605,122
,Austria,47.5162,14.5501,11584
,Azerbaijan,40.1431,47.5769,1542
,Bahamas,25.0343,-77.3963,30
,Bahrain,26.0275,50.55,2202
,Bangladesh,23.685,90.3563,174
,Barbados,13.1939,-59.5432,56
,Belarus,53.7098,27.9534,1869
,Belgium,50.8333,4,16229
,Belize,13.1939,-59.5432,1
,Benin,9.3077,2.3158,117
,Bhutan,27.5142,90.4336,2
,Bolivia,-16.2902,-63.5887,270
,Bosnia and Herzegovina,43.9159,17.6791,571
,Brazil,-14.235,-51.9253,156419
,Brunei,4.5353,114.7277,149
,Bulgaria,42.7339,25.4858,273
,Burkina Faso,12.2383,-1.5616,824
,Cabo Verde,16.5388,-23.0418,1
,Cambodia,11.55,104.9167,79
,Cameroon,3.848,11.5021,820
,Canada,56.1304,-106.3468,51416
,Central African Republic,6.6111,20.9394,25
,Chad,15.4542,18.7322,28
,Chile,-35.6751,-71.543,6624
Anhui,China,31.8257,117.2264,991
Beijing,China,40.1824,116.4142,562
Chongqing,China,30.0572,107.874,500
Fujian,China,26.0789,117.9874,365
Gansu,China,37.8099,101.0583,156
Guangdong,China,23.3417,113.4244,1568
Guangxi,China,23.8298,108.7881,222
Guizhou,China,26.8154,106.8748,144
Hainan,China,19.1959,109.7453,162
Hebei,China,39.549,116.1306,321
Heilongjiang,China,47.862,127.7615,485
Henan,China,33.882,113.614,1260
Hong Kong,China,22.3,114.2,970
Hubei,China,30.9756,112.2707,61320
Hunan,China,27.6104,111.7088,1031
Inner Mongolia,China,44.0935,113.9448,129
Jiangsu,China,32.9711,119.455,651
Jiangxi,China,27.614,115.7221,941
Jilin,China,43.6661,126.1923,101
Liaoning,China,41.2956,122.6085,151
Macau,China,22.1667,113.55,45
Ningxia,China,37.2692,106.1655,70
