,Province/State,Country/Region,5/1/20
0,,Afghanistan,1496
1,,Albania,684
2,,Algeria,3461
3,,Andorra,743
4,,Angola,26
5,,Antigua and Barbuda,25
6,,Argentina,4176
7,,Armenia,1791
8,Australian Capital Territory,Australia,155
9,New South Wales,Australia,2977
10,Northern Territory,Australia,28
11,Queensland,Australia,1027
12,South Australia,Australia,444
13,Tasmania,Australia,255
14,Victoria,Australia,1330
15,Western Australia,Australia,556
16,,Austria,14931
17,,Azerbaijan,1664
18,,Bahamas,89
19,,Bahrain,2209
20,,Bangladesh,6209
21,,Barbados,76
22,,Belarus,12613
23,,Belgium,46841
24,,Benin,65
25,,Bhutan,7
26,,Bolivia,788
27,,Bosnia and Herzegovina,1513
28,,Brazil,31825
29,,Brunei,200
30,,Bulgaria,1126
31,,Burkina Faso,637
32,,Cabo Verde,136
33,,Cambodia,179
34,,Cameroon,1622
35,Alberta,Canada,2892
36,British Columbia,Canada,2280
37,Grand Princess,Canada,17
38,Manitoba,Canada,378
39,New Brunswick,Canada,173
40,Newfoundland and Labrador,Canada,382
41,Nova Scotia,Canada,770
42,Ontario,Canada,14599
43,Prince Edward Island,Canada,24
44,Quebec,Canada,24061
45,Saskatchewan,Canada,457
46,,Central African Republic,17
47,,Chad,36
48,,Chile,6752
49,Anhui,China,989
50,Beijing,China,581
51,Chongqing,China,580
52,Fujian,China,352
53,Gansu,China,103
54,Guangdong,China,1230
55,Guangxi,China,255
56,Guizhou,China,147
57,Hainan,China,168
58,Hebei,China,336
59,Heilongjiang,China,683
60,Henan,China,1276
61,Hong Kong,China,1049
62,Hubei,China,67956
63,Hunan,China,1016
64,Inner Mongolia,China,178
65,Jiangsu,China,652
66,Jiangxi,China,936
67,Jilin,China,128
68,Liaoning,China,143
69,Macau,China,46
70,Ningxia,China,75
71,Qinghai,China,18
72,Shaanxi,China,282
73,Shandong,China,787
74,Shanghai,China,685
75,Shanxi,China,203
76,Sichuan,China,559
77,Tianjin,China,173
78,Tibet,China,1
79,Xinjiang,China,76
80,Yunnan,China,185
81,Zhejiang,China,1227
82,,Colombia,5611
83,,Congo (Brazzaville),242
84,,Congo (Kinshasa),444
85,,Costa Rica,702
86,,Cote d'Ivoire,1260
87,,Croatia,2081
88,,Diamond Princess,714
89,,Cuba,1482
90,,Cyprus,814
91,,Czechia,7516
92,Faroe Islands,Denmark,274
93,Greenland,Denmark,11
94,,Denmark,8664
95,,Djibouti,1589
96,,Dominican Republic,6966
97,,Ecuador,8184
98,,Egypt,5181
99,,El Salvador,311
100,,Equatorial Guinea,93
101,,Eritrea,40
102,,Estonia,1663
103,,Eswatini,27
104,,Ethiopia,131
105,,Fiji,18
106,,Finland,4904
107,French Guiana,France,132
108,French Polynesia,France,58
109,Guadeloupe,France,215
110,Mayotte,France,387
111,New Caledonia,France,18
112,Reunion,France,415
113,Saint Barthelemy,France,6
114,St Martin,France,38
115,Martinique,France,235
116,,France,96090
117,,Gabon,249
118,,Gambia,10
119,,Georgia,514
120,,Germany,156629
121,,Ghana,1444
122,,Greece,3124
123,,Guatemala,430
124,,Guinea,1045
125,,Guyana,79
126,,Haiti,73
127,,Holy See,7
128,,Honduras,687
129,,Hungary,2748
130,,Iceland,1734
131,,India,15989
132,,Indonesia,9213
133,,Iran,92572
134,,Iraq,1794
135,,Ireland,20659
136,,Israel,15655
137,,Italy,199854
138,,Jamaica,276
139,,Japan,5009
140,,Jordan,436
141,,Kazakhstan,3429
142,,Kenya,394
143,,"Korea, South",10693
144,,Kuwait,3366
145,,Kyrgyzstan,818
146,,Latvia,804
147,,Lebanon,693
148,,Liberia,107
149,,Liechtenstein,117
150,,Lithuania,1481
151,,Luxembourg,3694
152,,Madagascar,172
153,,Malaysia,5742
154,,Maldives,176
155,,Malta,459
156,,Mauritania,7
157,,Mauritius,488
158,,Mexico,19361
159,,Moldova,3430
160,,Monaco,135
161,,Mongolia,38
162,,Montenegro,447
163,,Morocco,4864
164,,Namibia,16
165,,Nepal,42
166,Aruba,Netherlands,140
167,Curacao,Netherlands,14
168,Sint Maarten,Netherlands,79
169,,Netherlands,37786
170,,New Zealand,1439
171,,Nicaragua,13
172,,Niger,665
173,,Nigeria,1368
174,,North Macedonia,1477
175,,Norway,7660
176,,Oman,2539
177,,Pakistan,7771
178,,Panama,6231
179,,Papua New Guinea,11
180,,Paraguay,269
181,,Peru,8777
182,,Philippines,7596
183,,Poland,9137
184,,Portugal,21964
185,,Qatar,12223
186,,Romania,11779
187,,Russia,96435
188,,Rwanda,203
189,,Saint Lucia,14
190,,Saint Vincent and the Grenadines,13
191,,San Marino,549
192,,Saudi Arabia,6823
193,,Senegal,508
194,,Serbia,7245
195,,Seychelles,11
196,,Singapore,23610
197,,Slovakia,1483
198,,Slovenia,1267
199,,Somalia,437
200,,South Africa,3710
201,,Spain,222937
202,,Sri Lanka,364
203,,Sudan,259
204,,Suriname,10
205,,Sweden,19703
