,Province/State,Country/Region,5/1/20
0,,Afghanistan,263
1,,Albania,479
2,,Algeria,1801
3,,Andorra,450
4,,Angola,6
5,,Antigua and Barbuda,19
6,,Argentina,803
7,,Armenia,966
8,Australian Capital Territory,Australia,87
9,New South Wales,Australia,3154
10,Northern Territory,Australia,9
11,Queensland,Australia,1126
12,South Australia,Australia,527
13,Tasmania,Australia,50
14,Victoria,Australia,912
15,Western Australia,Australia,497
16,,Austria,12944
17,,Azerbaijan,1437
18,,Bahamas,17
19,,Bahrain,1414
20,,Bangladesh,103
21,,Barbados,54
22,,Belarus,1101
23,,Belgium,10858
24,,Belize,10
25,,Benin,39
26,,Bhutan,3
27,,Bolivia,50
28,,Bosnia and Herzegovina,674
29,,Brazil,9034
30,,Brunei,172
31,,Bulgaria,201
32,,Burkina Faso,516
33,,Cabo Verde,1
34,,Cambodia,113
35,,Cameroon,711
36,,Canada,17931
37,,Central African Republic,15
38,,Chad,9
39,,Chile,7842
40,Anhui,China,983
41,Beijing,China,538
42,Chongqing,China,573
43,Fujian,China,344
44,Gansu,China,174
45,Guangdong,China,1521
46,Guangxi,China,252
47,Guizhou,China,96
48,Hainan,China,162
49,Hebei,China,315
50,Heilongjiang,China,488
51,Henan,China,1258
52,Hong Kong,China,758
53,Hubei,China,63934
54,Hunan,China,1014
55,Inner Mongolia,China,119
56,Jiangsu,China,644
57,Jiangxi,China,933
58,Jilin,China,63
59,Liaoning,China,183
60,Macau,China,22
61,Ningxia,China,53
62,Qinghai,China,18
63,Shaanxi,China,254
64,Shandong,China,474
65,Shanghai,China,575
66,Shanxi,China,93
67,Sichuan,China,559
68,Tianjin,China,214
69,Tibet,China,1
70,Xinjiang,China,47
71,Yunnan,China,181
72,Zhejiang,China,1252
73,,Colombia,1339
74,,Congo (Brazzaville),23
75,,Congo (Kinshasa),92
76,,Costa Rica,170
77,,Cote d'Ivoire,506
78,,Croatia,1215
79,,Diamond Princess,649
80,,Cuba,535
81,,Cyprus,123
82,,Czechia,3361
83,Faroe Islands,Denmark,251
84,Greenland,Denmark,11
85,,Denmark,6355
86,,Djibouti,705
87,,Dominica,9
88,,Dominican Republic,828
89,,Ecuador,1567
90,,Egypt,1545
91,,El Salvador,115
92,,Equatorial Guinea,7
93,,Eritrea,6
94,,Estonia,236
95,,Eswatini,8
96,,Ethiopia,26
97,,Fiji,9
98,,Finland,3710
99,French Guiana,France,104
100,French Polynesia,France,44
101,Guadeloupe,France,76
102,Martinique,France,75
103,Mayotte,France,115
104,New Caledonia,France,14
105,Reunion,France,423
106,Saint Barthelemy,France,9
107,St Martin,France,20
108,,France,46908
109,,Gabon,43
110,,Gambia,2
111,,Georgia,142
112,,Germany,49564
113,,Ghana,116
114,,Grenada,6
115,,Greece,595
116,,Guatemala,26
117,,Guinea,292
118,,Guinea-Bissau,3
119,,Guyana,9
120,,Haiti,0
121,,Holy See,2
122,,Honduras,59
123,,Hungary,421
124,,Iceland,1673
125,,India,11614
126,,Indonesia,1176
127,,Iran,32991
128,,Iraq,1380
129,,Ireland,33039
130,,Israel,9165
131,,Italy,29790
132,,Jamaica,40
133,,Japan,1409
134,,Jordan,436
135,,Kazakhstan,869
136,,Kenya,124
137,,"Korea, South",8571
138,,Kuwait,503
139,,Kyrgyzstan,704
140,,Latvia,144
141,,Lebanon,144
142,,Liberia,14
143,,Libya,16
144,,Liechtenstein,54
145,,Lithuania,561
146,,Luxembourg,792
147,,Madagascar,95
148,,Malaysia,3856
149,,Maldives,16
150,,Mali,131
151,,Malta,292
152,,Mauritania,5
153,,Mauritius,277
154,,Mexico,2638
155,,Moldova,1020
156,,Monaco,47
157,,Mongolia,9
158,,Montenegro,198
159,,Morocco,571
160,,Mozambique,12
161,,Namibia,6
162,,Nepal,2
163,Aruba,Netherlands,97
164,Curacao,Netherlands,11
165,Sint Maarten,Netherlands,32
166,,Netherlands,0
167,,New Zealand,1212
168,,Nicaragua,7
169,,Niger,293
170,,Nigeria,208
171,,North Macedonia,614
172,,Norway,32
173,,Oman,328
174,,Pakistan,3358
175,,Panama,559
176,,Papua New Guinea,0
177,,Paraguay,134
178,,Peru,7731
179,,Philippines,1084
180,,Poland,3949
181,,Portugal,1397
182,,Qatar,913
183,,Romania,3411
184,,Russia,6169
185,,Rwanda,144
186,,Saint Kitts and Nevis,1
187,,Saint Lucia,25
188,,Saint Vincent and the Grenadines,3
189,,San Marino,65
190,,Saudi Arabia,3168
191,,Senegal,339
192,,Serbia,2010
193,,Seychelles,12
194,,Singapore,914
195,,Slovakia,280
196,,Slovenia,294
197,,Somalia,4
198,,South Africa,1888
199,,Spain,98934
200,,Sri Lanka,128
201,,Sudan,9
202,,Suriname,6
203,,Sweden,817
204,,Switzerland,22278
205,,Syria,6
206,,Taiwan*,287
207,,Tanzania,11
208,,Thailand,3237
209,,Timor-Leste,1
210,,Togo,69
211,,Trinidad and Tobago,56
212,,Tunisia,263
213,,Turkey,29243
214,,Uganda,51
215,,Ukraine,729
216,,United Arab Emirates,1953
217,Bermuda,United Kingdom,40
218,Cayman Islands,United Kingdom,7
219,Channel Islands,United Kingdom,484
220,Gibraltar,United Kingdom,141
221,Isle of Man,United Kingdom,324
222,Montserrat,United Kingdom,2
223,,United Kingdom,0
224,,Uruguay,480
225,,US,90780
226,,Uzbekistan,814
227,,Venezuela,164
228,,Vietnam,295
229,,Zambia,39
230,,Zimbabwe,2
231,,West Bank and Gaza,88
232,,Laos,8
233,,Kosovo,94
234,,Burma,12
235,Anguilla,United Kingdom,1
236,British Virgin Islands,United Kingdom,3
237,Turks and Caicos Islands,United Kingdom,4
238,,MS Zaandam,0
239,,Botswana,0
240,,Burundi,4
241,,Sierra Leone,21
242,"Bonaire, Sint Eustatius and Saba",Netherlands,0
243,,Malawi,3
244,Falkland Islands (Malvinas),United Kingdom,14
245,Saint Pierre and Miquelon,France,0
246,,South Sudan,0
247,,Western Sahara,45
248,,Sao Tome and Principe,0
249,,Yemen,0
