Province/State,Country/Region,Lat,Long,5/1/20
nan,Afghanistan,33.0,65.0,1988.0
nan,Albania,41.1533,20.1683,736.0
nan,Algeria,28.0339,1.6596,3657.0
nan,Andorra,42.5063,1.5218,739.0
nan,Angola,-11.2027,17.8739,43.0
nan,Antigua and Barbuda,17.0608,-61.7964,24.0
nan,Argentina,-38.4161,-63.6167,4677.0
nan,Armenia,40.0691,45.0382,1799.0
Australian Capital Territory,Australia,-35.4735,149.0124,104.0
New South Wales,Australia,-33.8688,151.2093,2975.0
Northern Territory,Australia,-12.4634,130.8456,32.0
Queensland,Australia,-28.0167,153.4,1020.0
South Australia,Australia,-34.9285,138.6007,436.0
Tasmania,Australia,-41.4545,145.9707,205.0
Victoria,Australia,-37.8136,144.9631,1330.0
Western Australia,Australia,-31.9505,115.8605,542.0
nan,Austria,47.5162,14.5501,15050.0
nan,Azerbaijan,40.1431,47.5769,1718.0
nan,Bahamas,25.0343,-77.3963,89.0
nan,Bahrain,26.0275,50.55,3121.0
nan,Bangladesh,23.685,90.3563,11297.0
nan,Barbados,13.1939,-59.5432,80.0
nan,Belarus,53.7098,27.9534,16595.0
nan,Belgium,50.8333,4.0,54648.0
nan,Benin,9.3077,2.3158,56.0
nan,Bhutan,27.5142,90.4336,0.0
nan,Bolivia,-16.2902,-63.5887,923.0
nan,Bosnia and Herzegovina,43.9159,17.6791,1606.0
nan,Brazil,-14.235,-51.9253,90384.0
nan,Brunei,4.5353,114.7277,137.0
nan,Bulgaria,42.7339,25.4858,1111.0
nan,Burkina Faso,12.2383,-1.5616,629.0
nan,Cabo Verde,16.5388,-23.0418,84.0
nan,Cambodia,11.55,104.9167,125.0
nan,Cameroon,3.8480000000000003,11.5021,1664.0
Alberta,Canada,53.9333,-116.5765,6401.0
British Columbia,Canada,49.2827,-123.1207,2092.0
Grand Princess,Canada,37.6489,-122.6655,133.0
Manitoba,Canada,53.7609,-98.8139,277.0
New Brunswick,Canada,46.5653,-66.4619,118.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,256.0
Nova Scotia,Canada,44.681999999999995,-63.7443,1351.0
Ontario,Canada,51.2538,-85.3232,22934.0
Prince Edward Island,Canada,46.5107,-63.4168,26.0
Quebec,Canada,52.9399,-73.5491,30877.0
Saskatchewan,Canada,52.9399,-106.4509,370.0
nan,Central African Republic,6.6111,20.9394,18.0
nan,Chad,15.4542,18.7322,42.0
nan,Chile,-35.6751,-71.543,16313.0
Anhui,China,31.8257,117.2264,989.0
Beijing,China,40.1824,116.4142,580.0
Chongqing,China,30.0572,107.874,581.0
Fujian,China,26.0789,117.9874,344.0
Gansu,China,37.8099,101.0583,139.0
Guangdong,China,23.3417,113.4244,1574.0
Guangxi,China,23.8298,108.7881,254.0
Guizhou,China,26.8154,106.8748,147.0
Hainan,China,19.1959,109.7453,168.0
Hebei,China,39.549,116.1306,326.0
Heilongjiang,China,47.861999999999995,127.7615,829.0
Henan,China,33.882,113.61399999999999,1310.0
Hong Kong,China,22.3,114.2,1024.0
Hubei,China,30.9756,112.2707,66693.0
