Province/State,Country/Region,Lat,Long,5/1/20
nan,Afghanistan,33.0,65.0,50.0
nan,Albania,41.1533,20.1683,31.0
nan,Algeria,28.0339,1.6596,432.0
nan,Andorra,42.5063,1.5218,58.0
nan,Angola,-11.2027,17.8739,2.0
nan,Antigua and Barbuda,17.0608,-61.7964,3.0
nan,Argentina,-38.4161,-63.6167,197.0
nan,Armenia,40.0691,45.0382,30.0
Australian Capital Territory,Australia,-35.4735,149.0124,3.0
New South Wales,Australia,-33.8688,151.2093,40.0
Northern Territory,Australia,-12.4634,130.8456,0.0
Queensland,Australia,-28.0167,153.4,6.0
South Australia,Australia,-34.9285,138.6007,4.0
Tasmania,Australia,-41.4545,145.9707,12.0
Victoria,Australia,-37.8136,144.9631,15.0
Western Australia,Australia,-31.9505,115.8605,7.0
nan,Austria,47.5162,14.5501,601.0
nan,Azerbaijan,40.1431,47.5769,20.0
nan,Bahamas,25.0343,-77.3963,11.0
nan,Bahrain,26.0275,50.55,8.0
nan,Bangladesh,23.685,90.3563,170.0
nan,Barbados,13.1939,-59.5432,7.0
nan,Belarus,53.7098,27.9534,82.0
nan,Belgium,50.8333,4.0,9077.0
nan,Benin,9.3077,2.3158,17.0
nan,Bhutan,27.5142,90.4336,0.0
nan,Bolivia,-16.2902,-63.5887,52.0
nan,Bosnia and Herzegovina,43.9159,17.6791,52.0
nan,Brazil,-14.235,-51.9253,6459.0
nan,Brunei,4.5353,114.7277,1.0
nan,Bulgaria,42.7339,25.4858,221.0
nan,Burkina Faso,12.2383,-1.5616,200.0
nan,Cabo Verde,16.5388,-23.0418,1.0
nan,Cambodia,11.55,104.9167,0.0
nan,Cameroon,3.8480000000000003,11.5021,109.0
Alberta,Canada,53.9333,-116.5765,110.0
British Columbia,Canada,49.2827,-123.1207,100.0
Grand Princess,Canada,37.6489,-122.6655,-7.0
Manitoba,Canada,53.7609,-98.8139,10.0
New Brunswick,Canada,46.5653,-66.4619,-0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,3.0
Nova Scotia,Canada,44.681999999999995,-63.7443,84.0
Ontario,Canada,51.2538,-85.3232,1252.0
Prince Edward Island,Canada,46.5107,-63.4168,0.0
Quebec,Canada,52.9399,-73.5491,2546.0
Saskatchewan,Canada,52.9399,-106.4509,4.0
nan,Central African Republic,6.6111,20.9394,0.0
nan,Chad,15.4542,18.7322,0.0
nan,Chile,-35.6751,-71.543,218.0
Anhui,China,31.8257,117.2264,6.0
Beijing,China,40.1824,116.4142,8.0
Chongqing,China,30.0572,107.874,6.0
Fujian,China,26.0789,117.9874,1.0
Gansu,China,37.8099,101.0583,2.0
Guangdong,China,23.3417,113.4244,8.0
Guangxi,China,23.8298,108.7881,2.0
Guizhou,China,26.8154,106.8748,2.0
Hainan,China,19.1959,109.7453,6.0
Hebei,China,39.549,116.1306,6.0
Heilongjiang,China,47.861999999999995,127.7615,13.0
Henan,China,33.882,113.61399999999999,22.0
Hong Kong,China,22.3,114.2,4.0
Hubei,China,30.9756,112.2707,4806.0
Hunan,China,27.6104,111.7088,4.0
Inner Mongolia,China,44.0935,113.9448,1.0
Jiangsu,China,32.9711,119.455,-0.0
Jiangxi,China,27.614,115.7221,1.0
Jilin,China,43.6661,126.1923,1.0
Liaoning,China,41.2956,122.6085,2.0
Macau,China,22.1667,113.55,-0.0
Ningxia,China,37.2692,106.1655,-0.0
Qinghai,China,35.7452,95.9956,-0.0
Shaanxi,China,35.1917,108.8701,3.0
Shandong,China,36.3427,118.1498,7.0
Shanghai,China,31.201999999999998,121.4491,7.0
Shanxi,China,37.5777,112.2922,0.0
Sichuan,China,30.6171,102.7103,3.0
Tianjin,China,39.3054,117.323,3.0
Tibet,China,31.6927,88.0924,-0.0
Xinjiang,China,41.1129,85.2401,3.0
Yunnan,China,24.974,101.48700000000001,2.0
Zhejiang,China,29.1832,120.0934,1.0
nan,Colombia,4.5709,-74.2973,226.0
nan,Congo (Brazzaville),-4.0383,21.7587,6.0
nan,Congo (Kinshasa),-4.0383,21.7587,25.0
nan,Costa Rica,9.7489,-83.7534,10.0
nan,Cote d'Ivoire,7.54,-5.5471,16.0
nan,Croatia,45.1,15.2,73.0
nan,Diamond Princess,0.0,0.0,13.0
nan,Cuba,22.0,-80.0,61.0
nan,Cyprus,35.1264,33.4299,13.0
nan,Czechia,49.8175,15.472999999999999,232.0
Faroe Islands,Denmark,61.8926,-6.9118,0.0
Greenland,Denmark,71.7069,-42.6043,0.0
nan,Denmark,56.2639,9.5018,442.0
nan,Djibouti,11.8251,42.5903,2.0
nan,Dominican Republic,18.7357,-70.1627,300.0
nan,Ecuador,-1.8312,-78.1834,710.0
nan,Egypt,26.0,30.0,371.0
nan,El Salvador,13.7942,-88.8965,11.0
nan,Equatorial Guinea,1.5,10.0,1.0
nan,Eritrea,15.1794,39.7823,0.0
nan,Estonia,58.5953,25.0136,57.0
nan,Eswatini,-26.5225,31.4659,1.0
nan,Ethiopia,9.145,40.4897,3.0
nan,Fiji,-17.7134,178.065,0.0
nan,Finland,64.0,26.0,303.0
French Guiana,France,3.9339,-53.1258,6.0
French Polynesia,France,-17.6797,149.4068,0.0
Guadeloupe,France,16.25,-61.5833,12.0
Mayotte,France,-12.8275,45.1662,4.0
New Caledonia,France,-20.9043,165.618,-0.0
Reunion,France,-21.1351,55.2471,0.0
Saint Barthelemy,France,17.9,-62.8333,0.0
St Martin,France,18.0708,-63.0501,2.0
Martinique,France,14.6415,-61.0242,20.0
nan,France,46.2276,2.2137,27022.0
nan,Gabon,-0.8037,11.6094,254.0
nan,Gambia,13.4432,-15.3101,1.0
nan,Georgia,42.3154,43.3569,12.0
nan,Germany,51.0,9.0,7979.0
nan,Ghana,7.9465,-1.0232,9.0
nan,Greece,39.0742,21.8243,167.0
nan,Guatemala,15.7835,-90.2308,68.0
nan,Guinea,9.9456,-9.6966,3.0
nan,Guyana,5.0,-58.75,11.0
nan,Haiti,18.9712,-72.2852,8.0
nan,Holy See,41.9029,12.4534,0.0
nan,Honduras,15.2,-86.2419,61.0
nan,Hungary,47.1625,19.5033,271.0
nan,Iceland,64.9631,-19.0208,10.0
nan,India,21.0,78.0,1035.0
nan,Indonesia,-0.7893,113.9213,787.0
nan,Iran,32.0,53.0,6383.0
nan,Iraq,33.0,44.0,91.0
nan,Ireland,53.1424,-7.6921,1025.0
nan,Israel,31.0,35.0,263.0
nan,Italy,43.0,12.0,28389.0
nan,Jamaica,18.1096,-77.2975,2.0
nan,Japan,36.0,138.0,621.0
nan,Jordan,31.24,36.51,7.0
nan,Kazakhstan,48.0196,66.9237,26.0
nan,Kenya,-0.0236,37.9062,21.0
nan,"Korea, South",36.0,128.0,243.0
nan,Kuwait,29.5,47.75,21.0
nan,Kyrgyzstan,41.2044,74.7661,12.0
nan,Latvia,56.8796,24.6032,13.0
nan,Lebanon,33.8547,35.8623,21.0
nan,Liberia,6.4281,-9.4295,8.0
nan,Liechtenstein,47.14,9.55,1.0
nan,Lithuania,55.1694,23.8813,51.0
nan,Luxembourg,49.8153,6.1296,108.0
nan,Madagascar,-18.7669,46.8691,0.0
nan,Malaysia,2.5,112.5,86.0
nan,Maldives,3.2028,73.2207,0.0
nan,Malta,35.9375,14.3754,3.0
nan,Mauritania,21.0079,10.9408,1.0
nan,Mauritius,-20.2,57.5,13.0
nan,Mexico,23.6345,-102.5528,1928.0
nan,Moldova,47.4116,28.3699,124.0
nan,Monaco,43.7333,7.4167,5.0
nan,Mongolia,46.8625,103.8467,-0.0
nan,Montenegro,42.5,19.3,5.0
nan,Morocco,31.7917,-7.0926,171.0
nan,Namibia,-22.9576,18.4904,0.0
nan,Nepal,28.1667,84.25,-0.0
Aruba,Netherlands,12.5186,-70.0358,2.0
Curacao,Netherlands,12.1696,-68.99,1.0
Sint Maarten,Netherlands,18.0425,-63.0548,15.0
nan,Netherlands,52.1326,5.2913,5128.0
nan,New Zealand,-40.9006,174.886,197.0
nan,Nicaragua,12.8654,-85.2072,38.0
nan,Niger,17.6078,8.0817,27.0
nan,Nigeria,9.082,8.6753,69.0
nan,North Macedonia,41.6086,21.7453,70.0
nan,Norway,60.472,8.4689,242.0
nan,Oman,21.0,57.0,27.0
nan,Pakistan,30.3753,69.3451,293.0
nan,Panama,8.538,-80.7821,210.0
nan,Papua New Guinea,-6.315,143.9555,-0.0
nan,Paraguay,-23.4425,-58.4438,11.0
nan,Peru,-9.19,-75.0152,898.0
nan,Philippines,13.0,122.0,520.0
nan,Poland,51.9194,19.1451,553.0
nan,Portugal,39.3999,-8.2245,1044.0
nan,Qatar,25.3548,51.1839,14.0
nan,Romania,45.9432,24.9668,707.0
nan,Russia,60.0,90.0,1171.0
nan,Rwanda,-1.9403,29.8739,0.0
nan,Saint Lucia,13.9094,-60.9789,0.0
nan,Saint Vincent and the Grenadines,12.9843,-61.2872,0.0
nan,San Marino,43.9424,12.4578,44.0
nan,Saudi Arabia,24.0,45.0,176.0
nan,Senegal,14.4974,-14.4524,10.0
nan,Serbia,44.0165,21.0059,134.0
nan,Seychelles,-4.6796,55.492,0.0
nan,Singapore,1.2833,103.8333,13.0
nan,Slovakia,48.669,19.699,16.0
nan,Slovenia,46.1512,14.9955,99.0
nan,Somalia,5.1521,46.1996,17.0
nan,South Africa,-30.5595,22.9375,125.0
nan,Spain,40.0,-4.0,26302.0
nan,Sri Lanka,7.0,81.0,7.0
nan,Sudan,12.8628,30.2176,109.0
nan,Suriname,3.9193,-56.0278,1.0
nan,Sweden,63.0,16.0,3115.0
nan,Switzerland,46.8182,8.2275,1844.0
nan,Taiwan*,23.7,121.0,6.0
nan,Tanzania,-6.369,34.8888,56.0
nan,Thailand,15.0,101.0,58.0
nan,Togo,8.6195,0.8248,9.0
nan,Trinidad and Tobago,10.6918,-61.2225,8.0
nan,Tunisia,34.0,9.0,42.0
nan,Turkey,38.9637,35.2433,3633.0
nan,Uganda,1.0,32.0,0.0
nan,Ukraine,48.3794,31.1656,326.0
nan,United Arab Emirates,24.0,54.0,93.0
Bermuda,United Kingdom,32.3078,-64.7505,5.0
Cayman Islands,United Kingdom,19.3133,-81.2546,1.0
Channel Islands,United Kingdom,49.3723,-2.3644,53.0
Gibraltar,United Kingdom,36.1408,-5.3536,-0.0
Isle of Man,United Kingdom,54.2361,-4.5481,90.0
Montserrat,United Kingdom,16.7425,-62.1874,0.0
nan,United Kingdom,55.3781,-3.4360000000000004,21501.0
nan,Uruguay,-32.5228,-55.7658,18.0
nan,US,37.0902,-95.7129,76103.0
nan,Uzbekistan,41.3775,64.5853,230.0
nan,Venezuela,6.4238,-66.5897,28.0
nan,Vietnam,16.0,108.0,0.0
nan,Zambia,-15.4167,28.2833,10.0
nan,Zimbabwe,-20.0,30.0,4.0
Diamond Princess,Canada,0.0,0.0,9.0
nan,Dominica,15.415,-61.371,0.0
nan,Grenada,12.1165,-61.678999999999995,0.0
nan,Mozambique,-18.665695,35.529562,0.0
nan,Syria,34.802075,38.99681500000001,3.0
nan,Timor-Leste,-8.874217,125.727539,0.0
nan,Belize,13.1939,-59.5432,2.0
Recovered,Canada,0.0,0.0,0.0
nan,Laos,19.856270000000002,102.495496,0.0
nan,Libya,26.3351,17.228331,0.0
nan,West Bank and Gaza,31.9522,35.2332,9.0
nan,Guinea-Bissau,11.8037,-15.1804,-0.0
nan,Mali,17.570692,-3.996166000000001,20.0
nan,Saint Kitts and Nevis,17.357822,-62.782998,0.0
Northwest Territories,Canada,64.8255,-124.8457,-0.0
Yukon,Canada,64.2823,-135.0,-0.0
nan,Kosovo,42.602636,20.902977,12.0
nan,Burma,21.9162,95.956,5.0
Anguilla,United Kingdom,18.2206,-63.0686,0.0
British Virgin Islands,United Kingdom,18.4207,-64.64,1.0
Turks and Caicos Islands,United Kingdom,21.69400000000001,-71.7979,1.0
nan,MS Zaandam,0.0,0.0,2.0
nan,Botswana,-22.3285,24.6849,1.0
nan,Burundi,-3.3731,29.9189,1.0
nan,Sierra Leone,8.460555000000001,-11.779889,1.0
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,-0.0
nan,Malawi,-13.254307999999998,34.301525,3.0
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,-0.0
Saint Pierre and Miquelon,France,46.8852,-56.3159,0.0
nan,South Sudan,6.8770000000000024,31.307,-0.0
nan,Western Sahara,24.2155,-12.8858,0.0
nan,Sao Tome and Principe,0.18636,6.613081,0.0
nan,Yemen,15.552726999999999,48.516388,0.0
