Province/State,Country/Region,Lat,Long,5/1/20
nan,Afghanistan,33.0,65.0,422.0
nan,Albania,41.1533,20.1683,453.0
nan,Algeria,28.0339,1.6596,2239.0
nan,Andorra,42.5063,1.5218,424.0
nan,Angola,-11.2027,17.8739,7.0
nan,Antigua and Barbuda,17.0608,-61.7964,96.0
nan,Argentina,-38.4161,-63.6167,1187.0
nan,Armenia,40.0691,45.0382,877.0
Australian Capital Territory,Australia,-35.4735,149.0124,116.0
New South Wales,Australia,-33.8688,151.2093,1354.0
Northern Territory,Australia,-12.4634,130.8456,12.0
Queensland,Australia,-28.0167,153.4,971.0
South Australia,Australia,-34.9285,138.6007,350.0
Tasmania,Australia,-41.4545,145.9707,71.0
Victoria,Australia,-37.8136,144.9631,1232.0
Western Australia,Australia,-31.9505,115.8605,342.0
nan,Austria,47.5162,14.5501,14963.0
nan,Azerbaijan,40.1431,47.5769,1724.0
nan,Bahamas,25.0343,-77.3963,-23.0
nan,Bahrain,26.0275,50.55,604.0
nan,Bangladesh,23.685,90.3563,159.0
nan,Barbados,13.1939,-59.5432,46.0
nan,Belarus,53.7098,27.9534,4272.0
nan,Belgium,50.8333,4.0,13508.0
nan,Benin,9.3077,2.3158,7.0
nan,Bhutan,27.5142,90.4336,40.0
nan,Bolivia,-16.2902,-63.5887,3.0
nan,Bosnia and Herzegovina,43.9159,17.6791,68.0
nan,Brazil,-14.235,-51.9253,826.0
nan,Brunei,4.5353,114.7277,42522.0
nan,Bulgaria,42.7339,25.4858,149.0
nan,Burkina Faso,12.2383,-1.5616,307.0
nan,Cabo Verde,16.5388,-23.0418,-1046.0
nan,Cambodia,11.55,104.9167,32.0
nan,Cameroon,3.8480000000000003,11.5021,123.0
Alberta,Canada,53.9333,-116.5765,1504.0
British Columbia,Canada,49.2827,-123.1207,22477.0
Grand Princess,Canada,37.6489,-122.6655,37.0
Manitoba,Canada,53.7609,-98.8139,15.0
New Brunswick,Canada,46.5653,-66.4619,9497.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,982.0
Nova Scotia,Canada,44.681999999999995,-63.7443,542.0
Ontario,Canada,51.2538,-85.3232,574.0
Prince Edward Island,Canada,46.5107,-63.4168,348.0
Quebec,Canada,52.9399,-73.5491,132.0
Saskatchewan,Canada,52.9399,-106.4509,1542.0
nan,Central African Republic,6.6111,20.9394,256.0
nan,Chad,15.4542,18.7322,145.0
nan,Chile,-35.6751,-71.543,162.0
Anhui,China,31.8257,117.2264,315.0
Beijing,China,40.1824,116.4142,481.0
Chongqing,China,30.0572,107.874,1260.0
Fujian,China,26.0789,117.9874,723.0
Gansu,China,37.8099,101.0583,63456.0
Guangdong,China,23.3417,113.4244,1011.0
Guangxi,China,23.8298,108.7881,126.0
Guizhou,China,26.8154,106.8748,647.0
Hainan,China,19.1959,109.7453,955.0
Hebei,China,39.549,116.1306,106.0
Heilongjiang,China,47.861999999999995,127.7615,147.0
Henan,China,33.882,113.61399999999999,15.0
Hong Kong,China,22.3,114.2,75.0
Hubei,China,30.9756,112.2707,16.0
Hunan,China,27.6104,111.7088,264.0
Inner Mongolia,China,44.0935,113.9448,763.0
Jiangsu,China,32.9711,119.455,506.0
Jiangxi,China,27.614,115.7221,145.0
Jilin,China,43.6661,126.1923,555.0
Liaoning,China,41.2956,122.6085,170.0
Macau,China,22.1667,113.55,1.0
Ningxia,China,37.2692,106.1655,73.0
Qinghai,China,35.7452,95.9956,176.0
Shaanxi,China,35.1917,108.8701,1259.0
