Province/State,Country/Region,Lat,Long,5/1/20
,Afghanistan,33,65,61
,Albania,41.1533,20.1683,31
,Algeria,28.0339,1.6596,471
,Andorra,42.5063,1.5218,38
,Angola,-11.2027,17.8739,2
,Antigua and Barbuda,17.0608,-61.7964,3
,Argentina,-38.4161,-63.6167,237
,Armenia,40.0691,45.0382,24
Australian Capital Territory,Australia,-35.4735,149.0124,3
New South Wales,Australia,-33.8688,151.2093,40
Northern Territory,Australia,-12.4634,130.8456,0
Queensland,Australia,-28.0167,153.4,6
South Australia,Australia,-34.9285,138.6007,4
Tasmania,Australia,-41.4545,145.9707,11
Victoria,Australia,-37.8136,144.9631,20
Western Australia,Australia,-31.9505,115.8605,7
,Austria,47.5162,14.5501,667
,Azerbaijan,40.1431,47.5769,20
,Bahamas,25.0343,-77.3963,15
,Bahrain,26.0275,50.55,10
,Bangladesh,23.685,90.3563,203
,Barbados,13.1939,-59.5432,9
,Belarus,53.7098,27.9534,85
,Belgium,50.8333,4,8590
,Benin,9.3077,2.3158,1
,Bhutan,27.5142,90.4336,0
,Bolivia,-16.2902,-63.5887,94
,Bosnia and Herzegovina,43.9159,17.6791,68
,Brazil,-14.235,-51.9253,5419
,Brunei,4.5353,114.7277,1
,Bulgaria,42.7339,25.4858,72
,Burkina Faso,12.2383,-1.5616,53
,Cabo Verde,16.5388,-23.0418,1
,Cambodia,11.55,104.9167,0
,Cameroon,3.848,11.5021,44
Alberta,Canada,53.9333,-116.5765,96
British Columbia,Canada,49.2827,-123.1207,129
Grand Princess,Canada,37.6489,-122.6655,0
Manitoba,Canada,53.7609,-98.8139,6
New Brunswick,Canada,46.5653,-66.4619,0
Newfoundland and Labrador,Canada,53.1355,-57.6604,3
Nova Scotia,Canada,44.682,-63.7443,33
Ontario,Canada,51.2538,-85.3232,1226
Prince Edward Island,Canada,46.5107,-63.4168,0
Quebec,Canada,52.9399,-73.5491,2277
Saskatchewan,Canada,52.9399,-106.4509,4
,Central African Republic,6.6111,20.9394,0
,Chad,15.4542,18.7322,0
,Chile,-35.6751,-71.543,250
Anhui,China,31.8257,117.2264,6
Beijing,China,40.1824,116.4142,8
Chongqing,China,30.0572,107.874,6
Fujian,China,26.0789,117.9874,1
Gansu,China,37.8099,101.0583,2
Guangdong,China,23.3417,113.4244,8
Guangxi,China,23.8298,108.7881,2
Guizhou,China,26.8154,106.8748,2
Hainan,China,19.1959,109.7453,6
Hebei,China,39.549,116.1306,6
Heilongjiang,China,47.862,127.7615,13
Henan,China,33.882,113.614,22
Hong Kong,China,22.3,114.2,4
Hubei,China,30.9756,112.2707,4602
Hunan,China,27.6104,111.7088,4
Inner Mongolia,China,44.0935,113.9448,1
Jiangsu,China,32.9711,119.455,0
Jiangxi,China,27.614,115.7221,1
Jilin,China,43.6661,126.1923,1
Liaoning,China,41.2956,122.6085,2
Macau,China,22.1667,113.55,0
Ningxia,China,37.2692,106.1655,0
Qinghai,China,35.7452,95.9956,0
Shaanxi,China,35.1917,108.8701,3
Shandong,China,36.3427,118.1498,7
Shanghai,China,31.202,121.4491,7
Shanxi,China,37.5777,112.2922,0
Sichuan,China,30.6171,102.7103,3
Tianjin,China,39.3054,117.323,3
Tibet,China,31.6927,88.0924,0
Xinjiang,China,41.1129,85.2401,3
Yunnan,China,24.974,101.487,2
Zhejiang,China,29.1832,120.0934,1
,Colombia,4.5709,-74.2973,320
,Congo (Brazzaville),-4.0383,21.7587,6
,Congo (Kinshasa),-4.0383,21.7587,26
,Costa Rica,9.7489,-83.7534,6
,Cote d'Ivoire,7.54,-5.5471,21
,Croatia,45.1,15.2,69
,Diamond Princess,0,0,13
,Cuba,22,-80,64
,Cyprus,35.1264,33.4299,16
,Czechia,49.8175,15.473,257
Faroe Islands,Denmark,61.8926,-6.9118,0
Greenland,Denmark,71.7069,-42.6043,0
,Denmark,56.2639,9.5018,493
,Djibouti,11.8251,42.5903,2
,Dominican Republic,18.7357,-70.1627,359
,Ecuador,-1.8312,-78.1834,760
,Egypt,26,30,392
,El Salvador,13.7942,-88.8965,11
,Equatorial Guinea,1.5,10,1
,Eritrea,15.1794,39.7823,0
,Estonia,58.5953,25.0136,60
,Eswatini,-26.5225,31.4659,1
,Ethiopia,9.145,40.4897,3
,Fiji,-17.7134,178.065,0
,Finland,64,26,457
French Guiana,France,3.9339,-53.1258,1
French Polynesia,France,-17.6797,149.4068,0
Guadeloupe,France,16.25,-61.5833,12
Mayotte,France,-12.8275,45.1662,4
New Caledonia,France,-20.9043,165.618,0
Reunion,France,-21.1351,55.2471,0
Saint Barthelemy,France,17.9,-62.8333,0
St Martin,France,18.0708,-63.0501,2
Martinique,France,14.6415,-61.0242,14
,France,46.2276,2.2137,26972
,Gabon,-0.8037,11.6094,2
,Gambia,13.4432,-15.3101,1
,Georgia,42.3154,43.3569,7
,Germany,51,9,7771
,Ghana,7.9465,-1.0232,9
,Greece,39.0742,21.8243,153
,Guatemala,15.7835,-90.2308,17
,Guinea,9.9456,-9.6966,6
,Guyana,5,-58.75,7
,Haiti,18.9712,-72.2852,8
,Holy See,41.9029,12.4534,0
,Honduras,15.2,-86.2419,61
,Hungary,47.1625,19.5033,349
,Iceland,64.9631,-19.0208,10
,India,21,78,1090
,Indonesia,-0.7893,113.9213,863
,Iran,32,53,6325
,Iraq,33,44,85
,Ireland,53.1424,-7.6921,1142
,Israel,31,35,244
,Italy,43,12,29477
,Jamaica,18.1096,-77.2975,6
,Japan,36,138,630
,Jordan,31.24,36.51,7
,Kazakhstan,48.0196,66.9237,28
,Kenya,-0.0236,37.9062,14
,"Korea, South",36,128,259
,Kuwait,29.5,47.75,28
,Kyrgyzstan,41.2044,74.7661,11
,Latvia,56.8796,24.6032,17
,Lebanon,33.8547,35.8623,24
,Liberia,6.4281,-9.4295,8
,Liechtenstein,47.14,9.55,1
,Lithuania,55.1694,23.8813,53
,Luxembourg,49.8153,6.1296,105
,Madagascar,-18.7669,46.8691,0
,Malaysia,2.5,112.5,111
,Maldives,3.2028,73.2207,0
,Malta,35.9375,14.3754,3
,Mauritania,21.0079,10.9408,1
,Mauritius,-20.2,57.5,9
,Mexico,23.6345,-102.5528,2089
,Moldova,47.4116,28.3699,117
,Monaco,43.7333,7.4167,6
,Mongolia,46.8625,103.8467,0
,Montenegro,42.5,19.3,5
,Morocco,31.7917,-7.0926,197
,Namibia,-22.9576,18.4904,0
,Nepal,28.1667,84.25,0
Aruba,Netherlands,12.5186,-70.0358,2
Curacao,Netherlands,12.1696,-68.99,1
Sint Maarten,Netherlands,18.0425,-63.0548,17
,Netherlands,52.1326,5.2913,5372
,New Zealand,-40.9006,174.886,35
,Nicaragua,12.8654,-85.2072,4
,Niger,17.6078,8.0817,34
,Nigeria,9.082,8.6753,56
,North Macedonia,41.6086,21.7453,70
,Norway,60.472,8.4689,249
,Oman,21,57,14
,Pakistan,30.3753,69.3451,413
,Panama,8.538,-80.7821,203
,Papua New Guinea,-6.315,143.9555,0
,Paraguay,-23.4425,-58.4438,12
,Peru,-9.19,-75.0152,954
,Philippines,13,122,595
,Poland,51.9194,19.1451,669
,Portugal,39.3999,-8.2245,1095
,Qatar,25.3548,51.1839,14
,Romania,45.9432,24.9668,754
,Russia,60,90,985
,Rwanda,-1.9403,29.8739,0
,Saint Lucia,13.9094,-60.9789,0
,Saint Vincent and the Grenadines,12.9843,-61.2872,0
