Province/State,Country/Region,Lat,Long,5/1/20
,Afghanistan,33,65,299
,Albania,41.1533,20.1683,533
,Algeria,28.0339,1.6596,2087
,Andorra,42.5063,1.5218,567
,Angola,-11.2027,17.8739,6
,Antigua and Barbuda,17.0608,-61.7964,13
,Argentina,-38.4161,-63.6167,1257
,Armenia,40.0691,45.0382,872
Australian Capital Territory,Australia,-35.4735,149.0124,88
New South Wales,Australia,-33.8688,151.2093,1379
Northern Territory,Australia,-12.4634,130.8456,9
Queensland,Australia,-28.0167,153.4,738
South Australia,Australia,-34.9285,138.6007,331
Tasmania,Australia,-41.4545,145.9707,67
Victoria,Australia,-37.8136,144.9631,1172
Western Australia,Australia,-31.9505,115.8605,340
,Austria,47.5162,14.5501,14467
,Azerbaijan,40.1431,47.5769,1320
,Bahamas,25.0343,-77.3963,20
,Bahrain,26.0275,50.55,1470
,Bangladesh,23.685,90.3563,182
,Barbados,13.1939,-59.5432,57
,Belarus,53.7098,27.9534,2938
,Belgium,50.8333,4,12360
,Belize,13.1939,-59.5432,14
,Benin,9.3077,2.3158,27
,Bhutan,27.5142,90.4336,5
,Bolivia,-16.2902,-63.5887,65
,Bosnia and Herzegovina,43.9159,17.6791,786
,Brazil,-14.235,-51.9253,40903
,Brunei,4.5353,114.7277,131
,Bulgaria,42.7339,25.4858,318
,Burkina Faso,12.2383,-1.5616,583
,Cabo Verde,16.5388,-23.0418,1
,Cambodia,11.55,104.9167,110
,Cameroon,3.848,11.5021,2168
,Canada,56.1304,-106.3468,21044
,Central African Republic,6.6111,20.9394,10
,Chad,15.4542,18.7322,8
,Chile,-35.6751,-71.543,9325
Anhui,China,31.8257,117.2264,984
Beijing,China,40.1824,116.4142,560
Chongqing,China,30.0572,107.874,590
Fujian,China,26.0789,117.9874,368
Gansu,China,37.8099,101.0583,137
Guangdong,China,23.3417,113.4244,1664
Guangxi,China,23.8298,108.7881,252
Guizhou,China,26.8154,106.8748,145
Hainan,China,19.1959,109.7453,162
Hebei,China,39.549,116.1306,317
Heilongjiang,China,47.862,127.7615,513
Henan,China,33.882,113.614,1254
Hong Kong,China,22.3,114.2,901
Hubei,China,30.9756,112.2707,64214
Hunan,China,27.6104,111.7088,1015
Inner Mongolia,China,44.0935,113.9448,108
Jiangsu,China,32.9711,119.455,658
Jiangxi,China,27.614,115.7221,936
Jilin,China,43.6661,126.1923,105
Liaoning,China,41.2956,122.6085,143
Macau,China,22.1667,113.55,40
Ningxia,China,37.2692,106.1655,75
Qinghai,China,35.7452,95.9956,18
Shaanxi,China,35.1917,108.8701,253
Shandong,China,36.3427,118.1498,768
Shanghai,China,31.202,121.4491,564
Shanxi,China,37.5777,112.2922,154
Sichuan,China,30.6171,102.7103,570
Tianjin,China,39.3054,117.323,186
Tibet,China,31.6927,88.0924,1
Xinjiang,China,41.1129,85.2401,73
Yunnan,China,24.974,101.487,188
Zhejiang,China,29.1832,120.0934,1278
,Colombia,4.5709,-74.2973,1288
,Congo (Brazzaville),-4.0383,21.7587,16
,Congo (Kinshasa),-4.0383,21.7587,71
,Costa Rica,9.7489,-83.7534,405
,Cote d'Ivoire,7.54,-5.5471,601
,Croatia,45.1,15.2,1291
,Diamond Princess,0,0,645
,Cuba,22,-80,593
,Cyprus,35.1264,33.4299,98
,Czechia,49.8175,15.473,3793
Faroe Islands,Denmark,61.8926,-6.9118,178
Greenland,Denmark,71.7069,-42.6043,11
,Denmark,56.2639,9.5018,8044
,Djibouti,11.8251,42.5903,805
,Dominica,15.415,-61.371,11
,Dominican Republic,18.7357,-70.1627,1203
,Ecuador,-1.8312,-78.1834,1933
,Egypt,26,30,1441
,El Salvador,13.7942,-88.8965,118
,Equatorial Guinea,1.5,10,7
,Eritrea,15.1794,39.7823,6
,Estonia,58.5953,25.0136,263
,Eswatini,-26.5225,31.4659,8
,Ethiopia,9.145,40.4897,28
,Fiji,-17.7134,178.065,12
,Finland,64,26,2000
French Guiana,France,3.9339,-53.1258,119
French Polynesia,France,-17.6797,149.4068,50
Guadeloupe,France,16.25,-61.5833,97
Martinique,France,14.6415,-61.0242,73
Mayotte,France,-12.8275,45.1662,163
New Caledonia,France,-20.9043,165.618,17
Reunion,France,-21.1351,55.2471,238
Saint Barthelemy,France,17.9,-62.8333,6
St Martin,France,18.0708,-63.0501,19
,France,46.2276,2.2137,54160
,Gabon,-0.8037,11.6094,47
